District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
KEIYO,SOY,SEGO,726,675,1401,314,10.68,131.19,SOY,RIFT VALLEY
MARAKWET,KAPTICH,SEGUT,904,922,1826,357,17.72,103.05,KAPYEGO,RIFT VALLEY
NANDI CENTRAL,CHEPTERIT,SEGUT,1138,1573,2711,481,7.01,386.73,KOSIRAI,RIFT VALLEY
BARINGO,KABARNET MOSOP,SEGUTON,2124,2364,4488,1132,13.79,325.49,KABARNET,RIFT VALLEY
POKOT CENTRAL,LOMUT,SEITO,700,869,1569,273,50.94,30.8,CHESEGON,RIFT VALLEY
SUBA,GWASSI EAST,SEKA,2494,2611,5105,934,41.33,123.52,GWASSI,NYANZA
NAROK SOUTH,KOIYAKI,SEKENANI,1681,1513,3194,706,641.98,4.98,MARA,RIFT VALLEY
SAMBURU CENTRAL,PORO,SEKETET,1285,1275,2560,460,63.72,40.18,KIRISIA,RIFT VALLEY
TAITA,MWATATE,SEMBE,1530,1259,2789,957,118.92,23.45,MWATATE,COAST
TANA DELTA,CHARA,SEMI KARO,900,835,1735,314,48.32,35.91,TARASAA,COAST
HAMISI,SENENDE,SENENDE,2182,2370,4552,953,4.65,979.14,SHAMAKHOKHO,WESTERN
WEST POKOT,SENETWO,SENETWO,740,758,1498,277,7.53,198.87,CHEPARERIA,RIFT VALLEY
TINDERET,KAMELILO,SENETWO,1006,980,1986,383,9.11,217.96,TINDERET,RIFT VALLEY
KANGUNDO,TALA,SENGANI,4750,4860,9610,2370,13.75,699.11,MATUNGULU,EASTERN
KISII CENTRAL,SENSI,SENSI,2736,3214,5950,1336,8.05,739.27,MARANI,NYANZA
TANA DELTA,MWINA,SERA,1089,1135,2224,455,540.46,4.12,GARSEN,COAST
LUGARI,LIKUYANI,SEREGEYA,7661,8043,15704,3224,56.31,278.89,LIKUYANI,WESTERN
HAMISI,SHAMAKHOKHO,SEREM,3289,3500,6789,1537,5.66,1200.45,SHAMAKHOKHO,WESTERN
SAMBURU NORTH,SEREN,SEREN,1190,1243,2433,465,365.5,6.66,NYIRO,RIFT VALLEY
KIPKELION,SIWOT,SERENG,1026,1003,2029,351,10.68,190.01,CHILCHILA,RIFT VALLEY
NANDI EAST,KAPCHORWA,SERENGONIK FOREST,3,4,7,2,107.31,0.07,NANDI HILLS,RIFT VALLEY
SAMBURU EAST,SEROLIPI,SEREOLIPI,1944,1598,3542,762,2380.14,1.49,WASO,RIFT VALLEY
EAST POKOT,KOSITEI,SERETION,1478,1382,2860,346,76.74,37.27,NGINYANG,RIFT VALLEY
BARINGO,EWALEL,SERETUNIN,1968,2124,4092,730,19.63,208.49,KABARNET,RIFT VALLEY
KERICHO,SERETUT,SERETUT,1975,1975,3950,781,7.64,517.26,KABIANGA,RIFT VALLEY
WEST POKOT,SEREWO,SEREWO,453,481,934,204,12.7,73.56,KONGELAI,RIFT VALLEY
ELDORET EAST,SERGOIT,SERGOIT,2655,2621,5276,1079,53.01,99.53,MOIBEN,RIFT VALLEY
KEIYO,IRONG,SERGOIT,1259,1288,2547,473,12.37,205.88,KAMARINY,RIFT VALLEY
GARBATULLA,SERICHO,SERICHO,1902,1711,3613,675,333.99,10.82,SERICHO,EASTERN
SAMBURU EAST,LONDUNGOKWE,SESIA,896,1139,2035,509,219.55,9.27,WAMBA,RIFT VALLEY
MOYALE,TOWNSHIP,SESSI,1308,1220,2528,532,1.71,1479.49,CENTRAL,EASTERN
KEIYO,KIPTUILONG,SETEK,779,743,1522,350,14.26,106.72,TAMBACH,RIFT VALLEY
TINDERET,METEITEI,SETEK,995,1016,2011,381,4.73,425.34,TINDERET,RIFT VALLEY
MOLO,SIRIKWA,SETKOTES,3488,3685,7173,1794,25.35,282.93,KAMARA,RIFT VALLEY
SAMBURU CENTRAL,MARALAL TOWN,SHABAA,2973,3175,6148,1279,78.59,78.23,KIRISIA,RIFT VALLEY
KAKAMEGA SOUTH,SHIKUMU,SHABWALI,1460,1736,3196,752,4.78,668.35,IKOLOMANI SOUTH,WESTERN
