District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
NYAMIRA,OBWARI,BOISANGA 1,4932,5296,10228,2221,17.72,577.07,EKERENYO,NYANZA
NYAMIRA,ITIBO,BOISANGA II,4665,4915,9580,1930,9.66,992.03,EKERENYO,NYANZA
NAKURU,LENGENET,BOITO,948,842,1790,445,26.87,66.61,RONGAI,RIFT VALLEY
BURET,BOITO,BOITO,3573,3525,7098,1297,14.09,503.87,KONOIN,RIFT VALLEY
MANDERA CENTRAL,KUTAYU,BOJ GARSE,1953,1272,3225,359,244.51,13.19,KOTULO,NORTH EASTERN
WAJIR WEST,BOJIHERI,BOJIHERI,1439,1284,2723,507,501.69,5.43,GRIFTU,NORTH EASTERN
TANA RIVER,KAMAGURU,BOKA,1690,1567,3257,607,160.58,20.28,BANGALE,COAST
KISII SOUTH,IYABE,BOKEIRE,3292,3611,6903,1461,8.41,820.51,SUNEKA,NYANZA
NYAMIRA,W.MUGIRANGO,BOKIAMBORI,3370,3798,7168,1528,10.42,687.69,NYAMAIYA,NYANZA
GUCHA,MAJOGE MASABA,BOKIMONGE,3010,3259,6269,1214,9.22,679.81,KENYENYA,NYANZA
BUNGOMA EAST,BOKOLI,BOKOLI,3978,4278,8256,1575,15.85,520.91,WEBUYE,WESTERN
MANDERA EAST,BARWAKO,BOKOLOW,1224,1206,2430,325,45.22,53.73,CENTRAL,NORTH EASTERN
NYAMIRA,OBWARI,BOKURATI 1,3949,4292,8241,1786,11.76,700.75,EKERENYO,NYANZA
NYAMIRA,ITIBO,BOKURATI 2,2800,3220,6020,1321,7.17,840,EKERENYO,NYANZA
NYAMIRA,W.MUGIRANGO,BOMABACHO,3601,4030,7631,1667,9.96,766.48,NYAMAIYA,NYANZA
KISII SOUTH,BOMORENDA,BOMAKOMBI,3399,4026,7425,1504,6.01,1234.82,SUNEKA,NYANZA
MALINDI,MAGARINI,BOMANI,3837,4296,8133,1180,69.2,117.54,MAGARINI,COAST
LAMU,HONGWE,BOMANI,2268,2010,4278,1000,56.81,75.31,MPEKETONI,COAST
NYAMIRA,W.MUGIRANGO,BOMANYANYA,2879,3135,6014,1370,7.56,795.1,NYAMAIYA,NYANZA
KISII SOUTH,BOMARIBA,BOMARIBA,2420,2745,5165,1053,6.93,744.78,SUNEKA,NYANZA
NAIROBI WEST,MUGUMO-INI,BOMAS,7912,8734,16646,4601,123.43,134.86,KIBERA,NAIROBI
KISII SOUTH,IYABE,BOMOKORA,6508,7080,13588,2814,18.82,721.81,SUNEKA,NYANZA
GUCHA SOUTH,S / MUGIRANGO CENTRAL,BOMONYAMA,4777,5110,9887,1934,14.51,681.53,NYAMARAMBE,NYANZA
GUCHA SOUTH,S/ MUGIRAGO CHACHE,BOMONYARA,3951,4225,8176,1719,10.01,817.02,NYAMARAMBE,NYANZA
KISII CENTRAL,KEUMBU,BOMWAGI,2111,2436,4547,1002,3.29,1381.14,KEUMBU,NYANZA
KISII SOUTH,BOMORENDA,BOMWANCHA,1599,1768,3367,693,2.52,1334.42,SUNEKA,NYANZA
KISII SOUTH,BOGIAKUMU,BOMWANDA,5010,5312,10322,2192,6.86,1505.65,SUNEKA,NYANZA
NYERI NORTH,MWEIGA,BONDENI,691,728,1419,367,5.27,269.21,KIENI WEST,CENTRAL
MOMBASA,TONONOKA,BONDENI,5123,5034,10157,1696,0.49,20737.04,ISLAND,COAST
TANA RIVER,NDURA,BONDENI,954,1050,2004,359,15.59,128.55,WENJE,COAST
TRANS NZOIA WEST,MUNICIPALITY,BONDENI,5342,5191,10533,2690,2.7,3899.52,CENTRAL,RIFT VALLEY
MASABA,IKORONGO,BONGONTA,2103,2238,4341,867,5.14,844.82,MASABA,NYANZA
MSAMBWENI,DIANI,BONGWE,5436,5386,10822,2089,45.12,239.86,DIANI,COAST
KISII CENTRAL,NYAKOE,BONYAGATANYI,4024,4668,8692,1791,8.3,1047.78,MOSOCHO,NYANZA
NYAMIRA,W.MUGIRANGO,BONYAIGUBA,3140,3724,6864,1417,6.39,1074.25,NYAMAIYA,NYANZA
NYAMIRA,ITIBO,BONYAKONI,5826,6172,11998,2548,16.07,746.47,EKERENYO,NYANZA
KISII SOUTH,BOMORENDA,BONYANCHAIRE,3697,4034,7731,1759,4.43,1746.29,SUNEKA,NYANZA
KISII SOUTH,BOGIAKUMU,BONYANDO,3796,3960,7756,1661,7.27,1067.13,SUNEKA,NYANZA
KISII SOUTH,BOMORENDA,BONYAORO,3160,3366,6526,1398,5.39,1209.84,SUNEKA,NYANZA
NYAMIRA,BORANGI,BONYENGWE 1,3678,3925,7603,1636,11.14,682.45,NYAMUSI,NYANZA
NYAMIRA,BORANGI,BONYENGWE 2,2467,2526,4993,983,6.43,776.52,NYAMUSI,NYANZA
GUCHA,TENDERE,BOOCHI,6641,7197,13838,2997,15.21,909.82,OGEMBO,NYANZA
GUCHA,NYACHEKI,BORANGI,1397,1574,2971,610,5.14,577.77,NYACHEKI,NYANZA
KERICHO,KIPKOIYAN,BORBORWET,3244,3123,6367,1271,10.33,616.55,BELGUT,RIFT VALLEY
NYANDO,AWASI,BORDER I,2467,2779,5246,1162,24.54,213.75,NYANDO,NYANZA
NYANDO,AWASI,BORDER II,3431,3555,6986,1524,18.54,376.87,NYANDO,NYANZA
MALINDI,MARAFA,BORE,2295,2424,4719,709,81.44,57.94,MARAFA,COAST
MANDERA CENTRAL,BOREHOLE 11,BOREHOLE 11,7820,8592,16412,1687,373.66,43.92,KOTULO,NORTH EASTERN
MOYALE,BORI,BORI,2701,2194,4895,753,129.1,37.92,CENTRAL,EASTERN
KISII SOUTH,BOMARIBA,BOROKO,3421,3895,7316,1564,6.9,1059.8,SUNEKA,NYANZA
KISII CENTRAL,KIOGORO,BORONYI,2694,2996,5690,1240,6,948.21,KIOGORO,NYANZA
GUCHA SOUTH,GETENGA,BOSAGA,611,733,1344,263,2.72,493.74,ETAGO,NYANZA
GUCHA,BASSI BORABU,BOSANSA,3681,4271,7952,1665,9.7,819.53,NYACHEKI,NYANZA
GUCHA SOUTH,S/ MUGIRAGO CHACHE,BOSINANGE,5386,5811,11197,2327,11.73,954.81,NYAMARAMBE,NYANZA
GUCHA,SENGERA,BOSOTI,8816,9558,18374,3670,23.43,784.26,OGEMBO,NYANZA
BURET,SATIET,BOSTO,1937,1941,3878,780,11.22,345.57,CHEPTALAL,RIFT VALLEY
GUCHA SOUTH,S/ MUGIRAGO BORABU,BOTABORI,3556,3813,7369,1286,7.98,923.48,ETAGO,NYANZA
GARISSA,BOUR-ALGI,BOUR-ALGI,1629,1279,2908,531,201.41,14.44,CENTRAL,NORTH EASTERN
KWALE,MAJIMBONI,BOYANI,892,841,1733,319,14.46,119.89,KUBO,COAST
MANDERA EAST,BP1,BP1,2609,2293,4902,722,10.79,454.19,CENTRAL,NORTH EASTERN
BUTERE,SHIANDA,BUBALA,1473,1685,3158,711,4.01,788.06,BUTERE,WESTERN
CHALBI,BUBISA,BUBISA,2536,2275,4811,1285,3651.56,1.32,TURBI,EASTERN
BUTERE,MARENYO,BUBOKO,1219,1331,2550,564,4.76,535.58,BUTERE,WESTERN
TANA RIVER,MAKERE,BUBU,663,725,1388,270,51.37,27.02,GALOLE,COAST
TANA RIVER,JAMUHURI,BUBUBU,1342,1322,2664,509,50.52,52.73,WENJE,COAST
KAKAMEGA CENTRAL,NAMBACHA,BUCHANGU,4599,4845,9444,1854,16.61,568.63,NAVAKHOLO,WESTERN
KERICHO,TENDWET,BUCHENGE,1551,1619,3170,619,12.18,260.19,AINAMOI,RIFT VALLEY
BUTERE,LUNZA,BUCHENYA,3241,3584,6825,1519,7.69,886.95,BUTERE,WESTERN
MUMIAS,ETENJE,BUCHIFI,4493,4889,9382,1980,15.26,614.64,SOUTH WANGA,WESTERN
SAMIA,ODIADO,BUDALANGA,564,607,1171,246,3.36,348.81,FUNYULA,WESTERN
BUNYALA,BUNYALA EAST,BUDALANGI,2709,2899,5608,1247,15.84,353.93,BUDALANGI,WESTERN
VIHIGA,BUSALI WEST,BUDAYWA,1669,1914,3583,774,3.53,1014.76,SABATIA,WESTERN
MT. ELGON,KAPSOKWONY,BUGAA,1303,1341,2644,521,3.15,839.13,KAPSOKWONY,WESTERN
KEIYO,KAPCHEMUTWA,BUGAR,1157,1110,2267,452,5.99,378.69,KAMARINY,RIFT VALLEY
BUSIA,BUKHAYO WEST,BUGEGI,5392,5870,11262,2296,27.84,404.56,MATAYOS,WESTERN
VIHIGA,BUSALI WEST,BUGINA,1868,2082,3950,845,3.42,1154.67,SABATIA,WESTERN
TAITA,KASIGAU,BUGUTA,3162,3712,6874,1197,115.19,59.68,NYANGALA,COAST
BUSIA,BUJUMBA,BUJUMBA,3330,3766,7096,1555,12.65,560.96,BUTULA,WESTERN
SAMIA,NANGUBA,BUJWANGA,2724,2972,5696,1158,14.46,393.87,FUNYULA,WESTERN
BUNYALA,BUNYALA WEST,BUKANI,3101,3460,6561,1710,2.96,2217,BUDALANGI,WESTERN
BUSIA,ELUKHARI,BUKATI,2678,2929,5607,1150,11.53,486.33,BUTULA,WESTERN
MUMIAS,ETENJE,BUKAYA,5159,5713,10872,2352,21.26,511.4,SOUTH WANGA,WESTERN
BUSIA,BUMALA,BUKHAHALA,1440,1622,3062,711,7.1,431.4,BUTULA,WESTERN
BUSIA,MARACHI CENTRAL,BUKHALALIRE,4215,4744,8959,1972,15.35,583.68,BUTULA,WESTERN
SAMIA,NANGOSIA,BUKHULUNGU,1545,1819,3364,714,9.08,370.35,FUNYULA,WESTERN
SAMIA,AGENGA,BUKIRI,938,1003,1941,404,8.58,226.33,FUNYULA,WESTERN
BUNGOMA WEST,MALAKISI,BUKOKHOLO,2029,2223,4252,878,9.06,469.24,MALAKISI,WESTERN
BUNYALA,BUNYALA WEST,BUKOMA,2096,2239,4335,1032,9.06,478.22,BUDALANGI,WESTERN
VIHIGA,IZAVA NORTH,BUKULUNYA,1424,1482,2906,593,2.77,1050.01,CHAVAKALI,WESTERN
FAFI,BULAGOLOL,BULAGOLOL,1018,1045,2063,444,353.42,5.84,GALMAGALA,NORTH EASTERN
IJARA,BULAGOLOL,BULAGOLOL,762,600,1362,188,94.34,14.44,IJARA,NORTH EASTERN
IJARA,SANGOLE,BULAWACHA,451,352,803,121,267.77,3,IJARA,NORTH EASTERN
KAJIADO NORTH,OLOOLUA,BULBUL,6815,6822,13637,4321,2.47,5516.81,NGONG,RIFT VALLEY
BUSIA,ELUGULU,BULEMIA,1591,1923,3514,722,7.03,499.99,BUTULA,WESTERN
BUNYALA,BUNYALA NORTH,BULEMIA,3325,3485,6810,1455,11.97,569.06,BUDALANGI,WESTERN
ISIOLO,BULESA,BULESA,851,888,1739,384,316.65,5.49,MERTI,EASTERN
MANDERA CENTRAL,BULLA AFFYA,BULLA AFFYA,6663,6528,13191,1649,5.55,2378.43,ELWAK,NORTH EASTERN
MANDERA EAST,BULLA HAJI,BULLA HAJI,213,160,373,63,3.36,111.08,KHALALIO,NORTH EASTERN
MANDERA EAST,BULLA JAMHURIA,BULLA JAMHURIA,3268,3057,6325,800,0.42,15138.82,CENTRAL,NORTH EASTERN
MANDERA EAST,BULLA MPYA,BULLA MPYA,4800,4568,9368,1362,1.38,6769.76,CENTRAL,NORTH EASTERN
MANDERA EAST,BULLA JAMHURIA,BULLA NGUVU,1489,1412,2901,429,0.24,12256.02,CENTRAL,NORTH EASTERN
ISIOLO,CENTRAL,BULLA PESA,11148,11574,22722,6190,7.66,2965.93,CENTRAL,EASTERN
MANDERA EAST,BULLA JAMHURIA,BULLA POWER,4138,3458,7596,1005,1.82,4177.76,CENTRAL,NORTH EASTERN
IJARA,KOTILE,BULLA WARDE,454,338,792,115,51.3,15.44,MASALANI,NORTH EASTERN
SAMIA,NAMBOBOTO,BULOMA,1636,1821,3457,721,8.16,423.87,FUNYULA,WESTERN
KAKAMEGA EAST,KAMBIRI,BULOVI,3164,3316,6480,1310,13.29,487.51,ILEHO,WESTERN
ISIOLO,KORBESA,BULTO BONSA,351,402,753,173,299.13,2.52,CHERAB,EASTERN
BUSIA,ELUGULU,BULWANI,1231,1397,2628,574,6.78,387.44,BUTULA,WESTERN
BUSIA,BUMALA,BUMALA 'A',1611,1893,3504,857,4.37,800.95,BUTULA,WESTERN
BUSIA,MARACHI EAST,BUMALA B,3977,4400,8377,1714,16.33,513.1,BUTULA,WESTERN
BUTERE,LUNZA,BUMAMU,2747,2981,5728,1236,7.83,731.42,BUTERE,WESTERN
MSAMBWENI,KIKONENI,BUMBANI,9519,10039,19558,3512,129.73,150.76,LUNGA LUNGA,COAST
BUNGOMA SOUTH,BUMULA,BUMULA,3659,3941,7600,1530,15.56,488.29,BUMULA,WESTERN
WAJIR NORTH,BUNA,BUNA,4875,4227,9102,1432,817.13,11.14,BUNA,NORTH EASTERN
NYAMIRA,BOGICHORA,BUNDO,2616,2732,5348,1185,6.61,808.88,NYAMIRA,NYANZA
KAKAMEGA CENTRAL,WEST BUNYALA,BUNDONGA,3071,3389,6460,1281,13.37,483.3,NAVAKHOLO,WESTERN
MUMIAS,MUSANDA,BUNGASI,3287,3734,7021,1622,14.82,473.68,SOUTH WANGA,WESTERN
KALOLENI,RABAI,BUNI KISIMANI,4813,5111,9924,1633,23.88,415.64,RABAI,COAST
KISUMU EAST,KOLWA EAST,BUOYE,2746,3043,5789,1230,23.74,243.86,WINAM,NYANZA
MALINDI,DAGAMRA,BURA,1809,2115,3924,500,50.49,77.72,MARAFA,COAST
FAFI,BURA,BURA,1478,1319,2797,569,2617.36,1.07,BURA,NORTH EASTERN
MALINDI,GOSHI,BURA MAGONGOLONI/ MOGOTINI,1070,1207,2277,374,9.51,239.33,MALINDI,COAST
MANDERA EAST,BURABOR,BURABOR,1557,1521,3078,382,9.07,339.42,KHALALIO,NORTH EASTERN
ISIOLO,WEST,BURAT,4580,4010,8590,1640,345.51,24.86,CENTRAL,EASTERN
WAJIR SOUTH,BURDER,BURDER,2474,2233,4707,677,1564.19,3.01,DIFF,NORTH EASTERN
MANDERA WEST,GITHER,BURDURAS,5408,4982,10390,1147,191.39,54.29,DANDU,NORTH EASTERN
CHALBI,TURBI,BURGABO,1256,1031,2287,477,2568.4,0.89,TURBI,EASTERN
SOTIK,TEMBWO,BURGEI,1195,1291,2486,434,5.62,442.53,SOTIK,RIFT VALLEY
IGEMBE,ANTUBOCHIU,BURIEMARIA,1943,1965,3908,902,3.16,1235.5,IGEMBE CENTRAL,EASTERN
IGEMBE,ANTUBEIGA,BURIERURI,4410,4530,8940,1815,4.23,2113.58,IGEMBE NORTH,EASTERN
BUSIA,BUJUMBA,BURINDA,1721,2003,3724,907,8.37,444.91,BUTULA,WESTERN
WAJIR EAST,ORGORALLE,BURMAYO,1317,1026,2343,286,353.22,6.63,TARBAJ,NORTH EASTERN
MANDERA CENTRAL,BURMAYO N.,BURMAYO N.,2692,2965,5657,682,299.42,18.89,SHIMBIR FATUMA,NORTH EASTERN
MANDERA CENTRAL,BURMAYO S,BURMAYO S,2432,2697,5129,592,211.07,24.3,SHIMBIR FATUMA,NORTH EASTERN
ELDORET EAST,OLARE,BURNT FOREST,2631,2314,4945,1154,7.76,636.98,AINABKOI,RIFT VALLEY
KAKAMEGA NORTH,BURUNDU,BURUNDU,1481,1533,3014,574,6.22,484.47,KABRAS WEST,WESTERN
KINANGO,VIGURUNGANI,BUSA,3067,3081,6148,997,400.97,15.33,KINANGO,COAST
SAMIA,BWIRI,BUSEMBE,2123,2224,4347,854,11.87,366.21,FUNYULA,WESTERN
BUSIA,LWANYA,BUSENDE,1459,1657,3116,638,7.65,407.13,MATAYOS,WESTERN
BUTERE,MANYALA,BUSHIENI,1562,1694,3256,752,7.11,457.87,BUTERE,WESTERN
BUTERE,MARAMA N.,BUSHITINJI,3062,3360,6422,1435,7.44,862.78,BUTERE,WESTERN
MARAKWET,CHEBORORWA,BUSIESOO,665,608,1273,243,11.29,112.78,KAPCHEROP,RIFT VALLEY
SAMIA,BWIRI,BUSIJO,2002,2272,4274,814,11.14,383.56,FUNYULA,WESTERN
BUSIA,BUMALA,BUSIRE,1269,1556,2825,697,3.66,771.12,BUTULA,WESTERN
KAKAMEGA NORTH,MATIOLI,BUTALI,1774,1873,3647,756,9.2,396.6,KABRAS CENTRAL,WESTERN
WAJIR NORTH,BUTE,BUTE,11106,8617,19723,2461,137.58,143.36,BUTE,NORTH EASTERN
BURET,CHEPLANGET,BUTIIK,2459,2595,5054,897,7.74,652.71,BURET,RIFT VALLEY
MOYALE,BUTIYE,BUTIYE,2440,2357,4797,752,2.85,1683.34,CENTRAL,EASTERN
BUNGOMA WEST,MALAKISI,BUTONGE,1153,1263,2416,451,6.71,359.79,MALAKISI,WESTERN
IMENTI NORTH,KISIMA,BUURI,3571,3412,6983,2051,84.17,82.97,TIMAU,EASTERN
TANA RIVER,BUWA,BUWA,1668,1557,3225,586,268.07,12.03,BANGALE,COAST
BUSIA,NASEWA,BUYAMA,1353,1528,2881,588,7.36,391.32,MATAYOS,WESTERN
KAKAMEGA EAST,KAMBIRI,BUYANGU,2283,2426,4709,987,7.41,635.29,ILEHO,WESTERN
BUSIA,BUKHAYO EAST,BUYOFU,1911,2011,3922,782,11.51,340.75,NAMBALE,WESTERN
KALOLENI,MWAWESA,BWAGAMOYO,2977,3372,6349,1025,12.12,524,RABAI,COAST
BUNGOMA WEST,LUUYA,BWAKE,5543,5797,11340,2079,21.21,534.67,NALONDO,WESTERN
BUSIA,ELUGULU,BWALIRO,2111,2494,4605,958,11.2,411.11,BUTULA,WESTERN
RONGO,SOUTH KANYAMKAGO,BWARE,4302,4332,8634,1684,24.65,350.24,URIRI,NYANZA
IGEMBE,KIRIMAMPIO,BWETHAA,2565,2547,5112,1111,10.35,494.07,IGEMBE S.EAST,EASTERN
MIGORI,SOUTH KADEM,C. KANYARUANDA,1183,1312,2495,512,19.11,130.57,NYATIKE,NYANZA
RONGO,CENTRAL KANYAMKAGO,C. KAWERE RATENG,1598,1752,3350,671,9.15,366.12,URIRI,NYANZA
NAIROBI NORTH,EASTLEIGH SOUTH,CALIFORNIA,11065,10634,21699,6662,0.48,45253.39,PUMWANI,NAIROBI
MALINDI,MALINDI,CENTRAL,9418,9768,19186,4888,9.41,2039.11,MALINDI,COAST
LAMU,MPEKETONI,CENTRAL,3568,3448,7016,1838,28.1,249.65,MPEKETONI,COAST
MANDERA EAST,CENTRAL,CENTRAL,7887,6863,14750,2307,2.56,5751.16,CENTRAL,NORTH EASTERN
RONGO,SOUTH SAKWA,CENTRAL ALEGO,1148,1123,2271,453,5.96,381.17,AWENDO,NYANZA
KISUMU EAST,BWANDA,CENTRAL BWANDA,1111,1193,2304,467,6.55,351.93,KADIBO,NYANZA
NYANDO,N.E. KANO,CENTRAL KABAR,1340,1474,2814,654,6.03,466.56,MIWANI,NYANZA
BUNGOMA WEST,NAMWELA,CENTRAL NAMWELA,3686,3916,7602,1478,9.72,781.78,SIRISIA,WESTERN
KILINDINI,CHAANI,CHAANI,31268,26970,58238,19492,4.22,13793.28,CHANGAMWE,COAST
KIPKELION,CHEBOSWA,CHAGAIK,3258,2677,5935,1903,28.94,205.11,CHEPSEON,RIFT VALLEY
WARENG,TIMBOROA,CHAGAIYA,3294,3203,6497,1378,72.68,89.4,KESSES,RIFT VALLEY
VIHIGA,S.MARAGOLI,CHAGENDA,2538,2783,5321,1141,11.07,480.63,VIHIGA,WESTERN
LAMU,DIDEWARIDE,CHALALUMA,1229,1016,2245,428,27.54,81.51,WITU,COAST
KALOLENI,KALOLENI,CHALANI/MIHINGONI,3180,3698,6878,979,14.56,472.46,KALOLENI,COAST
TAVETA,CHALLA,CHALLA,2661,2345,5006,1243,106.9,46.83,CHALLA,COAST
VIHIGA,BUSALI WEST,CHAMAKANGA,1907,1983,3890,774,3.61,1077.5,SABATIA,WESTERN
TESO NORTH,CHAMASIRI,CHAMASIR,928,922,1850,333,8.12,227.93,ANGURAI,WESTERN
VIHIGA,WAMULUMA,CHAMBITI,1690,1778,3468,751,2.93,1182.69,VIHIGA,WESTERN
BOMET,CHEMANER,CHAMBORI,895,947,1842,305,4.58,401.82,LONGISA,RIFT VALLEY
KERICHO,CHAIK,CHAMOGONDAY,7393,5921,13314,4567,78.08,170.52,KABIANGA,RIFT VALLEY
MAARA,GITIJE,CHAMUNGA,2469,2561,5030,1274,8.89,565.72,MUTHAMBI,EASTERN
TANA DELTA,CHARA,CHAMWANA MUMA,1707,1606,3313,578,68.11,48.64,TARASAA,COAST
KEIYO,KIBARGOI,CHANGACH,605,656,1261,262,16.38,76.97,SOY,RIFT VALLEY
KILINDINI,CHANGAMWE,CHANGAMWE,5584,5429,11013,2914,3.79,2906.42,CHANGAMWE,COAST
TESO NORTH,CHANGARA,CHANGARA,756,837,1593,296,2.71,586.91,ANGURAI,WESTERN
VIHIGA,C. MARAGOLI,CHANGO,2853,3078,5931,1272,4.13,1436.95,VIHIGA,WESTERN
NAKURU NORTH,BAHATI,CHANIA,2916,3015,5931,1283,27.31,217.16,BAHATI,RIFT VALLEY
NYAMIRA,KEERA,CHARACHANI,4039,4516,8555,1908,9.62,889.07,NYAMAIYA,NYANZA
CHALBI,GALAS,CHARI GOLLO,1096,484,1580,318,1168.69,1.35,NORTH HORR,EASTERN
NYERI NORTH,ENDARASHA,CHARITY,2769,2649,5418,1456,21.9,247.44,KIENI WEST,CENTRAL
KILIFI,CHASIMBA,CHASIMBA,2716,3139,5855,1041,14.58,401.62,CHONYI,COAST
KALOLENI,RIBE,CHAURINGO,2645,2686,5331,897,34.02,156.69,KALOLENI,COAST
VIHIGA,BUSALI EAST,CHAVOGERE,1988,2280,4268,868,5.37,794.9,SABATIA,WESTERN
TAITA,CHAWIA,CHAWIA,883,931,1814,445,5.75,315.7,MWATATE,COAST
TINDERET,CHEMAMUL,CHEBAGANG,816,729,1545,376,20.24,76.33,TINDERET,RIFT VALLEY
BURET,CHEBAGANG,CHEBAGANG,1956,1761,3717,704,9.96,373.01,KIMULOT,RIFT VALLEY
MARAKWET,CHERENGANY,CHEBAI,1535,1565,3100,605,12.99,238.68,KAPCHEROP,RIFT VALLEY
BARINGO,KAPROPITA,CHEBANO,772,850,1622,331,4.32,375.89,KABARNET,RIFT VALLEY
NANDI SOUTH,KEMELOI,CHEBARA,3836,4158,7994,1555,13.49,592.74,ALDAI,RIFT VALLEY
MOLO,CHEBARA,CHEBARA,1518,1604,3122,584,14.23,219.38,KERINGET,RIFT VALLEY
NANDI EAST,CHEBARUS,CHEBARUS,516,511,1027,206,2.56,401.93,NANDI HILLS,RIFT VALLEY
KOIBATEK,CHEBEREN,CHEBEREN,1273,1296,2569,480,49.93,51.45,KIMNGOROM,RIFT VALLEY
MARAKWET,MOIBEN,CHEBIEMIT,1586,1615,3201,653,24.29,131.78,CHEBIEMIT,RIFT VALLEY
NANDI EAST,SIWO,CHEBILAT,731,674,1405,258,2.84,494.7,OL'LESSOS,RIFT VALLEY
NANDI SOUTH,CHEBILAT,CHEBILAT,1439,1554,2993,574,7.39,404.79,ALDAI,RIFT VALLEY
SOTIK,MANARET,CHEBILAT,2219,2169,4388,1098,12.62,347.83,SOTIK,RIFT VALLEY
SOTIK,CHEBILAT,CHEBILAT,992,988,1980,357,6.1,324.58,KAPLETUNDO,RIFT VALLEY
KEIYO,CHEPSIGOT,CHEBINYINY,546,560,1106,216,17.26,64.08,SOY,RIFT VALLEY
BARINGO,CHEBINYINYI,CHEBINYINYI,985,957,1942,349,80.19,24.22,MOCHONGOI,RIFT VALLEY
KEIYO,KITANY,CHEBIOR,1546,1637,3183,624,21.15,150.51,CHEPKORIO,RIFT VALLEY
SOTIK,CHEBIRBELEK,CHEBIRBELEK,2651,2666,5317,964,10.79,492.84,KAPLETUNDO,RIFT VALLEY
KOIBATEK,SINENDE,CHEBIREBEI,97,96,193,37,17.68,10.92,KISANANA,RIFT VALLEY
KERICHO,CHEMAMUL,CHEBIRIRBEI,1976,1970,3946,751,5.81,678.71,KABIANGA,RIFT VALLEY
MOLO,KAPKEMBU,CHEBITET,1525,1541,3066,632,12.2,251.25,MAUCHE,RIFT VALLEY
KERICHO,KIPCHEBOR,CHEBOCHO,1998,1766,3764,1082,11.21,335.89,AINAMOI,RIFT VALLEY
KEIYO,KABIEMIT,CHEBOEN,737,661,1398,267,12.23,114.28,CHEPKORIO,RIFT VALLEY
KEIYO,KAPKWONY,CHEBOGE,633,665,1298,254,7.81,166.16,METKEI,RIFT VALLEY
NANDI EAST,CHEBARUS,CHEBOIN,1320,1155,2475,641,6.91,358.28,NANDI HILLS,RIFT VALLEY
BURET,CHEBOIN,CHEBOIN,3092,3199,6291,1155,9.38,670.42,CHEBORGE,RIFT VALLEY
BOMET,CHEBOIN,CHEBOIN,2684,2558,5242,977,15.11,346.99,LONGISA,RIFT VALLEY
NANDI CENTRAL,CHEPKUMIA,CHEBOITE,4691,5015,9706,1917,23.02,421.64,KAPSABET,RIFT VALLEY
KEIYO,CHEBAROR,CHEBOKOKWO,627,695,1322,217,3.55,372.03,KAMARINY,RIFT VALLEY
SOTIK,KIPTULWA,CHEBOLE,3266,3281,6547,1224,30.18,216.9,MUTARAKWA,RIFT VALLEY
POKOT CENTRAL,CHEBON,CHEBON,1315,1337,2652,459,11.78,225.1,TAPACH,RIFT VALLEY
SOTIK,CHEMAGEL,CHEBONGI,1831,1950,3781,732,5.19,728.57,SOTIK,RIFT VALLEY
BURET,CHEBORGE,CHEBORGE,1203,1248,2451,471,7.07,346.92,CHEBORGE,RIFT VALLEY
MOLO,KIPTAGICH,CHEBOTOI,941,1036,1977,440,10.45,189.17,OLENGURUONE,RIFT VALLEY
BOMET,MOGOR,CHEBOYO,1232,1288,2520,450,7.96,316.46,SIONGIROI,RIFT VALLEY
NANDI SOUTH,MUGEN,CHEBUGUNDI,2123,2296,4419,863,9.82,450.22,ALDAI,RIFT VALLEY
BUNGOMA WEST,LWANDANYI,CHEBUKUYI,3888,4020,7908,1671,14.76,535.77,MALAKISI,WESTERN
BUNGOMA NORTH,KIBINGEI,CHEBUKWABI,12232,12841,25073,4894,34.83,719.81,KIMILILI,WESTERN
BOMET,CHEBUNYO,CHEBUNYO,3153,3227,6380,1163,12.28,519.58,SIONGIROI,RIFT VALLEY
BARINGO,NGETIMOI,CHEBUNYUR,407,461,868,213,7.88,110.19,KABARNET,RIFT VALLEY
ELDORET EAST,KIMONING,CHEBURBUR,2038,2069,4107,828,18.58,221.03,MOIBEN,RIFT VALLEY
BURET,CHEBWAGAN,CHEBWAGAN,1112,1127,2239,401,5.04,444.39,BURET,RIFT VALLEY
KAKAMEGA NORTH,CHEGULO,CHEBWAI,2761,2945,5706,1157,11.54,494.36,KABRAS NORTH,WESTERN
MT. ELGON,CHEPKUBE,CHEBWEK,2353,2427,4780,898,9.19,520.19,CHEPTAIS,WESTERN
KEIYO,KEU,CHEGILET,589,559,1148,265,42.13,27.25,TAMBACH,RIFT VALLEY
NYERI NORTH,IRIAINI,CHEHE,2085,2313,4398,1383,10.35,424.78,MATHIRA,CENTRAL
BARINGO,LOBOI,CHELABA,546,540,1086,209,25.38,42.79,MARIGAT,RIFT VALLEY
TRANS MARA,ANGATA BARIKOI,CHELCHEL,1490,1504,2994,516,129.3,23.16,ANGATA BARIKOI,RIFT VALLEY
BOMET,BING'WA,CHELELACH,1912,1956,3868,682,12.2,317.01,SIONGIROI,RIFT VALLEY
KIPKELION,KAPKWEN,CHELELE,1236,1143,2379,527,7.47,318.34,KUNYAK,RIFT VALLEY
TESO NORTH,ANGURAI,CHELEMUK,1646,1895,3541,706,8.55,414.05,ANGURAI,WESTERN
KEIYO,MUTEI,CHELINGWA,1128,1123,2251,438,20.57,109.43,KAMARINY,RIFT VALLEY
